Date,Day,Sleep,Study,Read,No junk,Exercise,Video Game
01/01/20,Wednesday,1,0,0,1,0,1
02/01/20,Thursday,1,1,1,1,0,1
03/01/20,Friday,1,1,1,1,0,1
04/01/20,Saturday,0,0,0,0,0,1
05/01/20,Sunday,0,0,0,0,0,0
06/01/20,Monday,1,0,0,1,0,0
07/01/20,Tuesday,1,,,,,
08/01/20,Wednesday,,,,,,
09/01/20,Thursday,,,,,,
10/01/20,Friday,,,,,,
11/01/20,Saturday,,,,,,
12/01/20,Sunday,,,,,,
13/01/20,Monday,,,,,,
14/01/20,Tuesday,,,,,,
15/01/20,Wednesday,,,,,,
16/01/20,Thursday,,,,,,
17/01/20,Friday,,,,,,
18/01/20,Saturday,,,,,,
19/01/20,Sunday,,,,,,
20/01/20,Monday,,,,,,
21/01/20,Tuesday,,,,,,
